# instancia: dsjc1000.1
# arestas: 49629
# cores usadas: 147
# tempo total: 6s (6955ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 5 2 0
2 6 4 0
3 8 4 1
4 9 7 0
5 10 6 1
6 10 7 2
7 11 6 2
8 11 7 1
9 13 10 0
10 14 8 0
11 15 11 0
12 17 1 0
13 17 6 3
14 17 8 2
15 17 12 1
16 18 4 2
17 19 6 4
18 19 18 0
19 20 2 1
20 20 15 2
21 21 9 1
22 21 10 3
23 23 5 1
24 23 14 2
25 24 1 1
26 24 12 0
27 25 18 1
28 25 20 0
29 25 24 2
30 26 10 4
31 26 14 1
32 26 20 3
33 26 21 0
34 27 14 3
35 27 16 0
36 27 17 4
37 27 24 5
38 28 8 3
39 28 26 2
40 29 9 2
41 29 14 4
42 29 15 1
43 29 19 3
44 30 11 3
45 30 13 1
46 31 5 2
47 31 11 4
48 31 26 5
49 32 26 6
50 33 30 0
51 34 15 3
52 34 16 1
53 35 22 0
54 35 33 1
55 36 3 0
56 36 5 3
57 36 12 2
58 36 18 4
59 36 35 5
60 37 2 3
61 37 6 5
62 37 14 7
63 37 31 0
64 38 5 4
65 38 15 5
66 38 37 8
67 39 1 2
68 39 10 5
69 39 21 4
70 39 22 1
71 39 37 9
72 40 3 1
73 40 8 4
74 40 23 0
75 40 29 5
76 40 38 2
77 41 1 3
78 41 18 5
79 41 20 4
80 41 33 2
81 41 34 0
82 42 5 5
83 42 15 4
84 42 16 2
85 42 31 1
86 43 7 3
87 43 12 4
88 43 16 5
89 43 24 6
90 43 25 7
91 43 30 2
92 43 40 8
93 44 3 2
94 44 18 3
95 44 20 5
96 44 32 0
97 44 34 4
98 44 35 6
99 44 36 1
100 44 43 9
101 45 4 3
102 45 34 2
103 46 23 3
104 46 25 4
105 46 26 7
106 46 29 0
107 46 33 5
108 46 34 6
109 47 3 3
110 47 40 6
111 48 4 4
112 48 17 5
113 48 24 3
114 48 36 6
115 49 4 6
116 49 6 7
117 49 14 8
118 49 19 1
119 49 30 4
120 49 37 10
121 49 40 3
122 49 47 0
123 50 15 6
124 50 38 0
125 51 20 6
126 51 35 2
127 51 48 0
128 52 1 4
129 52 5 6
130 52 13 2
131 52 20 7
132 52 51 1
133 53 12 3
134 53 27 1
135 53 29 6
136 53 50 2
137 53 51 4
138 54 5 7
139 54 8 5
140 54 11 6
141 54 14 9
142 54 15 8
143 54 22 2
144 54 26 10
145 54 38 1
146 54 44 11
147 55 8 6
148 55 10 7
149 55 14 5
150 55 16 3
151 55 22 4
152 55 32 1
153 55 33 8
154 55 39 0
155 55 44 10
156 55 46 2
157 55 54 12
158 56 2 2
159 56 6 6
160 56 19 5
161 56 46 1
162 57 2 4
163 57 4 5
164 57 10 6
165 57 15 7
166 57 19 2
167 57 20 8
168 57 38 3
169 57 42 0
170 57 43 1
171 57 44 12
172 57 45 9
173 58 12 5
174 58 17 6
175 58 22 3
176 58 24 4
177 58 54 0
178 59 7 4
179 59 41 1
180 59 44 7
181 60 10 8
182 60 21 2
183 60 22 5
184 60 31 3
185 60 46 9
186 60 55 11
187 61 13 3
188 61 29 7
189 61 34 5
190 61 38 6
191 61 39 8
192 61 42 9
193 61 44 13
194 61 48 1
195 62 12 6
196 62 26 8
197 62 35 3
198 62 47 1
199 62 53 0
200 63 8 7
201 63 27 2
202 63 40 9
203 63 54 3
204 63 55 13
205 63 58 1
206 63 59 0
207 64 3 4
208 64 17 7
209 64 18 6
210 64 36 8
211 65 12 7
212 65 15 9
213 65 20 10
214 65 23 4
215 65 26 11
216 65 31 6
217 65 42 3
218 66 4 7
219 66 6 8
220 66 7 5
221 66 12 9
222 66 14 6
223 66 26 12
224 66 38 10
225 67 1 5
226 67 10 9
227 67 27 6
228 67 30 7
229 67 37 4
230 67 57 10
231 68 8 8
232 68 21 5
233 68 41 6
234 68 46 10
235 68 52 0
236 68 56 3
237 68 57 11
238 69 2 5
239 69 3 6
240 69 7 7
241 69 10 10
242 69 27 8
243 69 35 4
244 69 48 2
245 69 53 9
246 69 56 0
247 70 29 8
248 70 57 13
249 71 6 9
250 71 13 4
251 71 17 8
252 71 20 11
253 71 23 5
254 71 32 2
255 71 33 3
256 71 48 7
257 71 61 0
258 71 63 6
259 72 3 5
260 72 14 10
261 72 30 6
262 72 31 7
263 72 46 8
264 72 52 3
265 73 26 9
266 73 33 4
267 73 66 0
268 74 16 4
269 74 37 11
270 74 54 13
271 74 56 7
272 74 62 2
273 74 68 1
274 74 73 3
275 75 40 7
276 75 47 2
277 75 53 5
278 75 57 14
279 75 63 4
280 75 65 0
281 75 73 1
282 76 10 11
283 76 46 12
284 76 54 4
285 76 62 5
286 76 69 1
287 76 74 0
288 77 8 9
289 77 9 3
290 77 16 6
291 77 25 5
292 77 48 8
293 77 60 0
294 77 64 1
295 78 4 8
296 78 5 9
297 78 24 7
298 78 27 10
299 78 30 5
300 78 37 13
301 78 51 3
302 78 66 1
303 78 68 2
304 78 70 0
305 79 16 7
306 79 20 9
307 79 31 8
308 79 38 11
309 79 44 14
310 79 45 0
311 79 50 1
312 79 52 5
313 79 58 2
314 79 61 4
315 80 23 6
316 80 26 13
317 80 53 7
318 81 10 12
319 81 13 5
320 81 20 13
321 81 28 0
322 81 47 4
323 81 49 2
324 81 62 7
325 82 1 6
326 82 2 7
327 82 46 11
328 82 49 9
329 82 68 4
330 82 69 3
331 82 76 2
332 83 13 6
333 83 16 8
334 83 20 12
335 83 42 7
336 83 47 5
337 83 79 3
338 83 80 0
339 83 82 1
340 84 8 10
341 84 34 7
342 84 38 9
343 84 40 11
344 84 46 13
345 84 59 2
346 84 69 12
347 84 80 1
348 85 1 7
349 85 13 8
350 85 18 9
351 85 70 1
352 85 83 2
353 86 4 9
354 86 8 11
355 86 13 7
356 86 26 14
357 86 47 8
358 86 52 10
359 86 60 1
360 86 63 5
361 86 75 3
362 86 80 2
363 87 13 9
364 87 22 6
365 87 39 3
366 87 47 7
367 87 49 11
368 87 53 8
369 87 57 15
370 87 61 2
371 87 75 10
372 88 13 10
373 88 47 9
374 88 50 3
375 88 59 5
376 88 61 11
377 88 65 1
378 88 74 6
379 88 80 4
380 89 17 9
381 89 19 6
382 89 33 7
383 89 46 14
384 89 48 10
385 89 73 2
386 90 16 9
387 90 27 7
388 90 32 3
389 90 35 8
390 90 40 10
391 90 58 11
392 90 62 4
393 90 65 2
394 90 67 0
395 90 79 6
396 91 21 6
397 91 25 3
398 91 41 7
399 91 54 14
400 91 61 10
401 91 69 11
402 91 72 0
403 92 23 7
404 92 24 8
405 92 35 9
406 92 36 10
407 92 46 15
408 92 80 3
409 93 2 6
410 93 14 11
411 93 18 7
412 93 29 9
413 93 31 10
414 93 73 5
415 93 85 0
416 93 91 1
417 94 1 8
418 94 14 12
419 94 23 9
420 94 35 7
421 94 84 0
422 94 85 3
423 95 14 13
424 95 15 10
425 95 16 11
426 95 27 9
427 95 38 7
428 95 78 4
429 95 82 0
430 95 84 3
431 96 28 1
432 96 31 9
433 96 32 4
434 96 48 11
435 96 55 14
436 96 63 8
437 96 82 5
438 96 84 6
439 96 93 2
440 97 10 13
441 97 23 8
442 97 29 10
443 97 38 12
444 97 43 0
445 97 74 5
446 97 82 14
447 98 2 8
448 98 8 12
449 98 23 11
450 98 67 1
451 98 80 5
452 98 86 0
453 98 90 13
454 99 12 8
455 99 14 14
456 99 17 10
457 99 33 6
458 99 38 13
459 99 41 9
460 99 43 11
461 99 46 16
462 99 56 4
463 99 60 7
464 99 63 12
465 99 65 5
466 99 97 1
467 100 3 7
468 100 7 6
469 100 13 11
470 100 27 12
471 100 28 4
472 100 29 13
473 100 35 10
474 100 72 1
475 100 85 5
476 100 86 15
477 100 93 3
478 101 1 9
479 101 2 10
480 101 3 8
481 101 20 14
482 101 22 7
483 101 25 6
484 101 31 11
485 101 36 12
486 101 93 4
487 101 98 2
488 102 11 5
489 102 14 15
490 102 25 8
491 102 36 7
492 102 37 14
493 102 44 16
494 102 78 6
495 102 87 0
496 102 99 2
497 103 5 8
498 103 13 12
499 103 34 9
500 103 39 6
501 103 47 10
502 103 64 0
503 103 65 13
504 103 79 15
505 103 85 4
506 103 98 3
507 104 11 7
508 104 18 8
509 104 25 9
510 104 34 10
511 104 61 12
512 104 65 14
513 104 85 6
514 104 90 1
515 105 6 10
516 105 20 15
517 105 23 12
518 105 26 16
519 105 34 8
520 105 47 11
521 105 55 9
522 105 83 4
523 105 96 0
524 106 5 10
525 106 18 11
526 106 24 9
527 106 25 12
528 106 44 8
529 106 52 13
530 106 60 4
531 106 72 2
532 106 98 6
533 106 102 1
534 107 2 9
