# instancia: dsjr500.1c
# arestas: 121275
# cores usadas: 642
# tempo total: 148s (148603ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 3 2 0
2 4 1 0
3 4 2 1
4 4 3 2
5 5 1 1
6 5 2 2
7 5 3 3
8 5 4 4
9 6 1 2
10 6 2 3
11 6 3 1
12 6 4 5
13 6 5 0
14 7 1 3
15 7 2 4
16 7 3 5
17 7 4 6
18 7 5 7
19 7 6 8
20 8 4 3
21 8 5 5
22 8 6 4
23 8 7 0
24 9 1 4
25 9 2 5
26 9 3 6
27 9 4 7
28 9 5 8
29 9 6 9
30 9 7 1
31 9 8 2
32 10 1 5
33 10 2 6
34 10 3 4
35 10 4 8
36 10 5 9
37 10 6 7
38 10 7 2
39 10 8 1
40 10 9 0
41 11 1 6
42 11 2 7
43 11 3 8
44 11 4 9
45 11 5 10
46 11 6 11
47 11 7 12
48 11 8 13
49 11 9 3
50 11 10 14
51 12 1 7
52 12 2 8
53 12 3 9
54 12 4 10
55 12 5 6
56 12 6 12
57 12 7 11
58 12 8 14
59 12 9 13
60 12 10 3
61 12 11 0
62 13 1 8
63 13 2 9
64 13 3 7
65 13 4 11
66 13 5 12
67 13 6 6
68 13 7 10
69 13 8 15
70 13 9 14
71 13 10 13
72 13 11 1
73 13 12 2
74 14 1 9
75 14 2 10
76 14 3 11
77 14 4 12
78 14 5 13
79 14 6 14
80 14 7 15
81 14 8 6
82 14 9 16
83 14 10 17
84 14 11 2
85 14 12 1
86 14 13 0
87 15 1 10
88 15 2 11
89 15 3 12
90 15 4 13
91 15 5 14
92 15 7 9
93 15 8 7
94 15 9 15
95 15 10 16
96 15 11 4
97 15 12 5
98 15 13 3
99 15 14 8
100 16 3 10
101 16 4 14
102 16 5 11
103 16 6 13
104 16 7 16
105 16 9 12
106 16 10 15
107 16 11 5
108 16 12 4
109 16 13 17
110 16 14 3
111 16 15 0
112 17 1 11
113 17 2 12
114 17 3 13
115 17 4 15
116 17 5 16
117 17 6 10
118 17 7 14
119 17 8 8
120 17 9 17
121 17 10 18
122 17 11 19
123 17 12 20
124 17 13 4
125 17 14 5
126 17 15 1
127 17 16 2
128 18 1 12
129 18 2 13
130 18 3 14
131 18 4 16
132 18 5 15
133 18 6 17
134 18 7 18
135 18 8 9
136 18 9 10
137 18 10 11
138 18 11 20
139 18 12 19
140 18 13 5
141 18 14 4
142 18 15 2
143 18 16 1
144 18 17 0
145 19 1 13
146 19 2 14
147 19 3 15
148 19 4 17
149 19 5 18
150 19 6 16
151 19 7 19
152 19 8 10
153 19 9 11
154 19 10 12
155 19 11 21
156 19 12 22
157 19 13 23
158 19 14 7
159 19 15 6
160 19 16 8
161 19 17 3
162 19 18 24
163 20 1 14
164 20 2 15
165 20 3 16
166 20 4 18
167 20 5 17
168 20 6 19
169 20 7 13
170 20 8 11
171 20 9 20
172 20 10 10
173 20 11 22
174 20 12 21
175 20 13 24
176 20 14 23
177 20 15 25
178 20 16 6
179 20 17 7
180 20 18 3
181 20 19 0
182 21 1 15
183 21 2 16
184 21 3 17
185 21 4 19
