# instancia: dsjr500.5
# arestas: 58862
# cores usadas: 388
# tempo total: 19s (19011ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 3 1 0
2 3 2 1
3 4 2 0
4 6 1 1
5 6 2 2
6 6 3 3
7 6 4 4
8 7 1 2
9 7 5 0
10 8 4 1
11 8 6 0
12 9 1 3
13 9 2 4
14 9 4 2
15 9 5 1
16 9 6 5
17 9 7 6
18 9 8 7
19 10 1 4
20 10 3 2
21 10 6 6
22 10 7 1
23 10 9 0
24 11 5 2
25 11 7 3
26 12 5 3
27 12 11 0
28 13 1 5
29 13 3 4
30 13 7 7
31 13 9 8
32 13 10 3
33 13 11 1
34 14 5 4
35 14 7 5
36 14 8 2
37 14 9 9
38 14 11 6
39 14 12 1
40 15 1 6
41 15 7 4
42 15 10 5
43 15 11 7
44 15 13 0
45 16 2 3
46 16 4 5
47 16 6 7
48 16 8 4
49 16 9 10
50 17 5 5
51 17 8 3
52 17 9 11
53 17 12 2
54 17 14 0
55 17 16 1
56 18 1 7
57 18 2 5
58 18 3 6
59 18 4 3
60 18 6 8
61 18 9 12
62 18 10 9
63 18 13 2
64 18 15 1
65 19 1 8
66 19 2 6
67 19 3 5
68 19 4 7
69 19 6 9
70 19 8 10
71 19 9 13
72 19 10 11
73 19 16 0
74 19 18 4
75 20 1 9
76 20 3 7
77 20 6 10
78 20 7 8
79 20 9 14
80 20 10 12
81 20 13 6
82 20 15 2
83 20 18 0
84 20 19 1
85 21 1 10
86 21 7 9
87 21 10 7
88 21 11 4
89 21 13 11
90 21 15 3
91 22 1 11
92 22 2 7
93 22 3 8
94 22 4 6
95 22 6 12
96 22 7 10
97 22 8 5
98 22 9 15
99 22 10 13
100 22 13 9
101 22 15 14
102 22 16 2
103 22 18 16
104 22 19 3
105 22 20 4
106 23 1 12
107 23 2 8
108 23 4 9
109 23 6 11
110 23 7 13
111 23 8 6
112 23 9 16
113 23 10 10
114 23 13 14
115 23 14 3
116 23 15 15
117 23 16 18
118 23 17 4
119 23 18 19
120 23 19 2
121 23 20 5
122 23 22 0
123 24 2 9
