# instancia: flat300_28_0
# arestas: 21695
# cores usadas: 205
# tempo total: 1s (1944ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 2 1 0
2 5 2 1
3 5 3 0
4 6 3 1
5 6 4 0
6 6 5 2
7 7 3 2
8 8 5 3
9 8 6 4
10 9 1 1
11 9 3 3
12 9 4 2
13 9 5 4
14 9 7 0
15 9 8 5
16 10 5 5
17 10 7 1
18 10 9 6
19 11 5 6
20 11 8 0
21 12 1 2
22 12 2 3
23 12 4 1
24 12 5 7
25 12 6 5
26 12 7 4
27 12 9 8
28 12 10 0
29 13 1 3
30 13 6 6
31 13 8 1
32 13 11 2
33 14 1 4
34 14 2 2
35 14 3 5
36 14 7 3
37 14 9 7
38 14 11 1
39 14 12 6
40 15 2 4
41 15 4 3
42 15 8 2
43 15 9 9
44 15 13 0
45 16 4 4
46 16 5 8
47 16 7 5
48 16 11 3
49 16 13 7
50 16 14 0
51 16 15 6
52 17 1 5
53 17 2 6
54 17 4 7
55 17 5 9
56 17 11 4
57 17 12 10
58 17 13 8
59 17 16 12
60 18 1 6
61 18 3 4
62 18 4 5
63 18 5 10
64 18 8 7
65 18 9 11
66 18 10 2
67 18 11 8
68 18 12 9
69 18 13 12
70 18 14 13
71 18 15 1
72 19 1 7
73 19 4 6
74 19 6 3
75 19 7 8
76 19 8 9
77 19 14 10
78 19 15 5
79 19 16 13
80 20 1 8
81 20 4 9
82 20 5 11
83 20 6 7
84 20 8 6
85 20 9 10
86 20 10 3
87 20 13 4
88 20 15 12
89 20 16 16
90 20 18 0
91 21 1 9
92 21 2 5
93 21 7 6
94 21 10 4
95 21 12 11
96 21 14 8
97 21 15 7
98 22 3 6
99 22 4 8
100 22 5 12
101 22 7 7
102 22 8 10
103 22 9 13
104 22 10 9
105 22 11 5
106 22 12 14
107 22 15 11
108 22 16 17
109 22 18 3
110 22 20 1
111 22 21 0
112 23 4 10
113 23 6 8
114 23 7 9
115 23 9 12
116 23 10 7
117 23 14 11
118 23 15 13
119 23 17 0
120 23 18 14
121 23 19 1
122 23 20 2
123 24 5 13
124 24 6 9
125 24 7 10
126 24 8 8
127 24 10 11
128 24 11 7
129 24 14 12
130 24 16 18
131 24 18 15
132 24 20 5
133 24 21 1
134 25 2 7
135 25 3 8
136 25 5 14
137 25 6 10
138 25 7 11
139 25 8 12
140 25 10 13
141 25 12 15
142 25 15 16
143 25 16 9
144 25 17 1
145 25 19 0
146 25 21 2
147 25 24 3
148 26 1 10
149 26 3 7
150 26 4 11
151 26 5 15
152 26 7 12
153 26 11 9
154 26 12 13
155 26 13 5
156 26 15 8
157 26 19 2
158 26 22 4
159 26 24 0
160 27 1 11
161 27 2 8
162 27 12 12
163 27 14 9
164 27 15 10
165 27 16 19
166 27 19 4
167 27 21 3
168 27 22 2
169 27 24 6
170 27 26 1
171 28 1 12
172 28 2 9
173 28 5 16
174 28 9 14
175 28 11 10
176 28 12 17
177 28 13 11
178 28 15 15
179 28 17 2
180 28 19 18
181 28 21 13
182 28 22 19
183 28 23 3
184 28 24 4
185 28 25 5
186 28 27 0
187 29 3 9
188 29 5 17
189 29 6 11
190 29 9 15
191 29 11 12
192 29 13 10
193 29 16 21
194 29 17 3
195 29 20 13
196 29 21 14
197 29 23 4
198 29 24 2
199 29 25 6
200 29 26 16
201 29 28 1
202 30 1 13
203 30 2 10
204 30 3 11
205 30 4 12
206 30 5 18
207 30 6 14
208 30 10 8
209 30 11 15
210 30 12 16
211 30 15 17
212 30 16 22
213 30 18 19
214 30 21 20
215 30 24 21
216 30 25 4
217 30 26 3
218 30 27 5
219 30 28 6
220 31 2 11
221 31 6 12
222 31 8 13
223 31 9 16
224 31 10 10
225 31 11 14
226 31 13 9
227 31 15 18
228 31 17 15
229 31 18 17
230 31 19 19
231 31 20 20
232 31 23 5
233 31 25 21
234 31 26 6
235 31 27 7
236 32 2 12
237 32 3 10
238 32 5 19
239 32 7 13
240 32 8 11
241 32 10 14
242 32 14 15
243 32 15 20
244 32 16 23
245 32 18 16
246 32 20 17
247 32 21 18
248 32 23 6
249 32 24 22
250 32 28 7
251 32 30 0
252 32 31 1
253 33 2 13
254 33 6 15
255 33 9 17
256 33 10 12
257 33 13 14
258 33 17 11
259 33 18 18
260 33 21 10
