# instancia: le450_25c
# arestas: 17343
# cores usadas: 179
# tempo total: 0s (780ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 1 210 0
2 1 85 1
3 1 410 2
4 1 217 3
5 1 267 4
6 1 149 5
7 1 415 6
8 1 206 7
9 1 342 8
10 1 374 9
11 1 40 10
12 1 331 11
13 1 422 12
14 1 219 13
15 1 292 14
16 1 33 15
17 1 124 16
18 1 65 17
19 1 232 18
20 1 248 19
21 1 164 20
22 1 80 21
23 1 296 22
24 1 312 23
25 1 128 24
26 1 319 25
27 1 435 26
28 1 367 27
29 1 183 28
30 1 399 29
31 1 390 30
32 1 381 31
33 1 272 32
34 1 138 33
35 1 304 34
36 1 420 35
37 1 311 36
38 1 327 37
39 1 168 38
40 1 259 39
41 1 400 40
42 1 266 41
43 1 207 42
44 1 398 43
45 1 64 44
46 1 405 45
47 1 396 46
48 1 387 47
49 1 328 48
50 1 19 49
51 1 310 50
52 1 317 51
53 1 333 52
54 1 224 53
55 1 165 54
56 1 306 55
57 1 172 56
58 2 143 0
59 2 229 1
60 2 295 2
61 2 386 3
62 2 263 4
63 2 254 5
64 2 220 6
65 2 286 7
66 2 109 8
67 2 384 9
68 2 300 10
69 2 191 11
70 2 132 12
71 2 203 13
72 2 94 14
73 2 10 15
74 2 326 16
75 2 342 17
76 2 399 18
77 2 415 19
78 2 231 20
79 2 22 21
80 2 204 22
81 2 395 23
82 2 61 24
83 2 118 25
84 2 188 26
85 2 29 27
86 2 145 28
87 2 334 29
88 2 75 30
89 2 91 31
90 2 432 32
91 2 373 33
92 2 114 34
93 2 255 35
94 2 46 36
95 2 437 37
96 2 103 38
97 2 63 39
98 2 79 40
99 2 45 41
100 2 168 42
101 2 359 43
102 2 425 44
103 2 41 45
104 2 157 46
105 2 98 47
106 2 364 48
107 2 180 49
108 2 421 50
109 2 262 51
110 2 428 52
111 2 169 53
112 2 185 54
113 2 101 55
114 2 392 56
115 2 33 57
116 2 24 58
117 2 90 59
118 2 156 60
119 2 297 61
120 2 388 64
121 2 179 62
122 2 20 65
123 2 161 63
124 2 193 66
125 2 309 67
126 2 175 68
127 2 166 69
128 2 107 70
129 2 273 71
130 2 89 72
131 2 305 73
132 2 321 74
133 2 187 75
134 2 178 76
135 2 144 77
136 2 260 78
137 2 176 79
138 2 17 80
139 2 183 81
140 2 424 82
141 2 215 83
142 2 131 84
143 2 447 85
144 3 12 0
145 3 237 1
146 3 132 2
147 3 39 3
148 3 55 4
149 3 371 5
150 3 429 6
151 3 370 7
152 3 61 8
153 3 427 9
154 3 334 10
155 3 50 11
156 3 241 12
157 3 307 13
158 3 398 14
159 3 439 15
160 3 305 16
161 3 321 17
162 3 137 18
163 3 444 19
164 3 30 20
165 3 71 21
166 3 362 22
167 3 419 23
168 3 10 24
169 3 301 25
170 3 17 26
171 3 133 27
172 3 124 28
173 3 90 29
174 3 131 30
175 3 347 31
176 3 363 32
177 3 279 33
178 3 70 34
179 3 388 35
180 3 104 36
181 3 395 37
182 3 111 38
183 3 202 39
184 3 293 40
185 3 359 41
186 3 425 42
187 3 41 43
188 3 257 44
189 3 273 45
190 3 164 46
191 3 105 47
192 3 221 48
193 3 112 49
194 3 185 50
195 3 126 51
196 3 292 52
