# instancia: le450_25d
# arestas: 17425
# cores usadas: 157
# tempo total: 0s (845ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 1 342 0
2 1 287 1
3 1 278 2
4 1 449 3
5 1 62 4
6 1 303 5
7 1 144 6
8 1 283 8
9 1 289 9
10 1 405 10
11 1 346 11
12 1 87 12
13 1 153 13
14 1 319 14
15 1 183 15
16 1 349 16
17 1 231 17
18 1 397 18
19 1 163 20
20 1 383 21
21 1 24 22
22 1 40 19
23 1 331 23
24 1 320 24
25 1 2 26
26 1 118 27
27 1 200 28
28 1 59 29
29 1 275 30
30 1 216 31
31 1 7 32
32 1 273 34
33 1 39 35
34 1 80 36
35 1 321 37
36 1 137 38
37 1 3 40
38 1 19 39
39 1 310 41
40 1 178 42
41 1 169 43
42 1 210 44
43 1 292 45
44 1 433 46
45 1 224 48
46 1 140 49
47 1 431 50
48 1 122 51
49 1 413 52
50 1 29 53
51 1 136 55
52 1 127 54
53 1 68 56
54 1 155 57
55 1 371 58
56 1 12 59
57 1 78 60
58 1 194 61
59 1 85 62
60 1 317 63
61 1 358 64
62 1 174 65
63 1 340 66
64 1 56 67
65 1 297 68
66 1 188 69
67 1 129 33
68 1 267 70
69 1 33 71
70 1 49 72
71 1 415 73
72 1 181 47
73 1 147 74
74 1 288 75
75 1 179 76
76 1 70 77
77 1 411 78
78 1 302 79
79 1 293 80
80 1 259 81
81 1 325 82
82 1 219 83
83 1 410 84
84 1 208 85
85 1 324 86
86 1 215 87
87 1 97 88
88 1 88 90
89 1 4 91
90 1 295 92
91 1 386 93
92 1 52 94
93 1 393 95
94 1 309 96
95 1 106 97
96 1 363 98
97 1 254 99
98 1 145 100
99 1 161 101
100 1 27 102
101 1 43 103
102 1 384 104
103 1 300 105
104 1 91 106
105 1 57 107
106 1 173 108
107 1 114 109
108 1 280 110
109 1 421 111
110 1 262 112
111 1 328 113
112 1 44 114
113 1 185 115
114 1 242 89
115 1 108 116
116 1 249 117
117 1 65 118
118 1 356 119
119 1 447 120
120 1 63 25
121 1 104 7
122 1 345 121
123 1 211 122
124 1 277 123
125 1 18 124
126 1 34 125
127 1 350 126
128 1 416 127
129 1 107 128
130 1 348 129
131 1 264 130
132 1 130 131
133 1 121 132
134 1 37 133
135 1 378 134
136 1 344 135
137 1 435 136
138 1 367 137
139 1 133 138
140 1 149 139
141 1 440 140
142 2 218 0
143 2 193 1
144 2 168 2
145 2 195 3
146 2 93 4
147 2 109 5
148 2 450 6
149 2 146 7
150 2 253 8
151 2 344 9
152 2 310 10
153 2 85 11
154 2 317 12
155 2 383 13
156 2 24 14
157 2 331 15
158 2 413 16
159 2 320 17
160 2 386 18
161 2 118 19
162 2 59 20
163 2 200 21
164 2 106 22
165 2 447 23
166 2 438 24
167 2 379 25
168 2 120 27
169 2 286 28
170 2 434 29
171 2 75 30
172 2 91 31
173 2 432 32
174 2 39 33
175 2 130 34
176 2 171 35
177 2 412 36
