# instancia: r250.5
# arestas: 14849
# cores usadas: 192
# tempo total: 0s (901ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 3 1 0
2 3 2 1
3 4 1 1
4 5 1 2
5 5 2 0
6 6 1 3
7 6 2 4
8 6 3 5
9 6 5 6
10 7 2 2
11 7 3 3
12 7 5 1
13 7 6 0
14 8 5 3
15 9 1 4
16 9 4 0
17 9 5 5
18 9 6 9
19 9 8 1
20 10 1 5
21 10 4 2
22 10 6 10
23 10 9 3
24 11 5 4
25 11 8 0
26 12 1 6
27 12 4 3
28 12 5 7
29 12 6 11
30 12 8 2
31 12 9 8
32 12 10 0
33 12 11 1
34 13 1 7
35 13 3 2
36 13 4 4
37 13 5 8
38 13 6 12
39 13 9 6
40 13 10 1
41 13 12 5
42 14 1 8
43 14 2 3
44 14 5 9
45 14 6 13
46 14 7 4
47 14 8 5
48 14 9 2
49 14 11 6
50 14 12 10
51 14 13 0
52 15 1 9
53 15 4 5
54 15 9 7
55 15 10 4
56 15 13 3
57 16 5 10
58 16 6 14
59 16 8 4
60 16 9 11
61 16 10 6
62 16 11 2
63 16 12 9
64 16 14 1
65 17 1 10
66 17 2 5
67 17 3 4
68 17 5 11
69 17 6 15
70 17 7 6
71 17 14 7
72 18 2 6
73 18 5 12
74 18 7 5
75 18 14 11
76 18 17 0
77 19 4 6
78 19 13 9
79 19 15 0
80 20 8 6
81 20 9 10
82 20 10 7
83 20 11 3
84 20 12 4
85 20 13 11
86 20 16 0
87 21 8 7
88 21 9 12
89 21 10 8
90 21 11 5
91 21 12 13
92 21 16 3
93 21 20 1
94 22 1 11
95 22 2 7
96 22 3 6
97 22 5 13
98 22 6 17
99 22 7 8
100 22 8 10
101 22 9 14
102 22 10 15
103 22 11 16
104 22 12 18
105 22 13 19
106 22 14 21
107 22 16 5
108 22 17 1
109 22 18 2
110 23 1 12
111 23 2 8
112 23 3 7
113 23 6 19
114 23 7 9
115 23 13 10
116 23 14 14
117 23 17 2
118 23 22 0
119 24 1 13
120 24 3 8
121 24 4 7
122 24 6 20
123 24 9 15
124 24 10 9
