Arquivo: dsjc1000.1.col
Arestas: 49629
Cores usadas: 147
Tempo de execução: 1614 ms

e 5 2 cor 1
e 6 4 cor 1
e 8 4 cor 2
e 9 7 cor 1
e 10 6 cor 2
e 10 7 cor 3
e 11 6 cor 3
e 11 7 cor 2
e 13 10 cor 1
e 14 8 cor 1
e 15 11 cor 1
e 17 1 cor 1
e 17 6 cor 4
e 17 8 cor 3
e 17 12 cor 2
e 18 4 cor 3
e 19 6 cor 5
e 19 18 cor 1
e 20 2 cor 2
e 20 15 cor 3
e 21 9 cor 2
e 21 10 cor 4
e 23 5 cor 2
e 23 14 cor 3
e 24 1 cor 2
e 24 12 cor 1
e 25 18 cor 2
e 25 20 cor 1
e 25 24 cor 3
e 26 10 cor 5
e 26 14 cor 2
e 26 20 cor 4
e 26 21 cor 1
e 27 14 cor 4
e 27 16 cor 1
e 27 17 cor 5
e 27 24 cor 6
e 28 8 cor 4
e 28 26 cor 3
e 29 9 cor 3
e 29 14 cor 5
e 29 15 cor 2
e 29 19 cor 4
e 30 11 cor 4
e 30 13 cor 2
e 31 5 cor 3
e 31 11 cor 5
e 31 26 cor 6
e 32 26 cor 7
e 33 30 cor 1
e 34 15 cor 4
e 34 16 cor 2
e 35 22 cor 1
e 35 33 cor 2
e 36 3 cor 1
e 36 5 cor 4
e 36 12 cor 3
e 36 18 cor 5
e 36 35 cor 6
e 37 2 cor 4
e 37 6 cor 6
e 37 14 cor 7
e 37 31 cor 1
e 38 5 cor 5
e 38 15 cor 6
e 38 37 cor 9
e 39 1 cor 3
e 39 10 cor 6
e 39 21 cor 5
e 39 22 cor 2
e 39 37 cor 10
e 40 3 cor 2
e 40 8 cor 5
e 40 23 cor 1
e 40 29 cor 6
e 40 38 cor 3
e 41 1 cor 4
e 41 18 cor 6
e 41 20 cor 5
e 41 33 cor 3
e 41 34 cor 1
e 42 5 cor 6
e 42 15 cor 5
e 42 16 cor 3
e 42 31 cor 2
e 43 7 cor 4
e 43 12 cor 5
e 43 16 cor 6
e 43 24 cor 7
e 43 25 cor 8
e 43 30 cor 3
e 43 40 cor 9
e 44 3 cor 3
e 44 18 cor 4
e 44 20 cor 6
e 44 32 cor 1
e 44 34 cor 5
e 44 35 cor 7
e 44 36 cor 2
e 44 43 cor 10
e 45 4 cor 4
e 45 34 cor 3
e 46 23 cor 4
e 46 25 cor 5
e 46 26 cor 8
e 46 29 cor 1
e 46 33 cor 6
e 46 34 cor 7
e 47 3 cor 4
e 47 40 cor 7
e 48 4 cor 5
e 48 17 cor 6
e 48 24 cor 4
e 48 36 cor 7
e 49 4 cor 7
e 49 6 cor 8
e 49 14 cor 9
e 49 19 cor 2
e 49 30 cor 5
e 49 37 cor 11
e 49 40 cor 4
e 49 47 cor 1
e 50 15 cor 7
e 50 38 cor 1
e 51 20 cor 7
e 51 35 cor 3
e 51 48 cor 1
e 52 1 cor 5
e 52 5 cor 7
e 52 13 cor 3
e 52 20 cor 8
e 52 51 cor 2
e 53 12 cor 4
e 53 27 cor 2
e 53 29 cor 7
e 53 50 cor 3
e 53 51 cor 5
e 54 5 cor 8
e 54 8 cor 6
e 54 11 cor 7
e 54 14 cor 10
e 54 15 cor 9
e 54 22 cor 3
e 54 26 cor 11
e 54 38 cor 2
e 54 44 cor 12
e 55 8 cor 7
e 55 10 cor 8
e 55 14 cor 6
e 55 16 cor 4
e 55 22 cor 5
e 55 32 cor 2
e 55 33 cor 9
e 55 39 cor 1
e 55 44 cor 11
e 55 46 cor 3
e 55 54 cor 13
e 56 2 cor 3
e 56 6 cor 7
e 56 19 cor 6
e 56 46 cor 2
e 57 2 cor 5
e 57 4 cor 6
e 57 10 cor 7
e 57 15 cor 8
e 57 19 cor 3
e 57 20 cor 9
