Arquivo: dsjr500.1c.col
Arestas: 121275
Cores usadas: 644
Tempo de execução: 64236 ms

e 3 2 cor 1
e 4 1 cor 1
e 4 2 cor 2
e 4 3 cor 3
e 5 1 cor 2
e 5 2 cor 3
e 5 3 cor 4
e 5 4 cor 5
e 6 1 cor 3
e 6 2 cor 4
e 6 3 cor 2
e 6 4 cor 6
e 6 5 cor 1
e 7 1 cor 4
e 7 2 cor 5
e 7 3 cor 6
e 7 4 cor 7
e 7 5 cor 8
e 7 6 cor 9
e 8 4 cor 4
e 8 5 cor 6
e 8 6 cor 5
e 8 7 cor 1
e 9 1 cor 5
e 9 2 cor 6
e 9 3 cor 7
e 9 4 cor 8
e 9 5 cor 9
e 9 6 cor 10
e 9 7 cor 2
e 9 8 cor 3
e 10 1 cor 6
e 10 2 cor 7
e 10 3 cor 5
e 10 4 cor 9
e 10 5 cor 10
e 10 6 cor 8
e 10 7 cor 3
e 10 8 cor 2
e 10 9 cor 1
e 11 1 cor 7
e 11 2 cor 8
e 11 3 cor 9
e 11 4 cor 10
e 11 5 cor 11
e 11 6 cor 12
e 11 7 cor 13
e 11 8 cor 14
e 11 9 cor 4
e 11 10 cor 15
e 12 1 cor 8
e 12 2 cor 9
e 12 3 cor 10
e 12 4 cor 11
e 12 5 cor 7
e 12 6 cor 13
e 12 7 cor 12
e 12 8 cor 15
e 12 9 cor 14
e 12 10 cor 4
e 12 11 cor 1
e 13 1 cor 9
e 13 2 cor 10
e 13 3 cor 8
e 13 4 cor 12
e 13 5 cor 13
e 13 6 cor 7
e 13 7 cor 11
e 13 8 cor 16
e 13 9 cor 15
e 13 10 cor 14
e 13 11 cor 2
e 13 12 cor 3
e 14 1 cor 10
e 14 2 cor 11
e 14 3 cor 12
e 14 4 cor 13
e 14 5 cor 14
e 14 6 cor 15
e 14 7 cor 16
e 14 8 cor 7
e 14 9 cor 17
e 14 10 cor 18
e 14 11 cor 3
e 14 12 cor 2
e 14 13 cor 1
e 15 1 cor 11
e 15 2 cor 12
e 15 3 cor 13
e 15 4 cor 14
e 15 5 cor 15
e 15 7 cor 10
e 15 8 cor 8
e 15 9 cor 16
e 15 10 cor 17
e 15 11 cor 5
e 15 12 cor 6
e 15 13 cor 4
e 15 14 cor 9
e 16 3 cor 11
e 16 4 cor 15
e 16 5 cor 12
e 16 6 cor 14
e 16 7 cor 17
e 16 9 cor 13
e 16 10 cor 16
e 16 11 cor 6
e 16 12 cor 5
e 16 13 cor 18
e 16 14 cor 4
e 16 15 cor 1
e 17 1 cor 12
e 17 2 cor 13
e 17 3 cor 14
e 17 4 cor 16
e 17 5 cor 17
e 17 6 cor 11
e 17 7 cor 15
e 17 8 cor 9
e 17 9 cor 18
e 17 10 cor 19
e 17 11 cor 20
e 17 12 cor 21
e 17 13 cor 5
e 17 14 cor 6
e 17 15 cor 2
e 17 16 cor 3
e 18 1 cor 13
e 18 2 cor 14
e 18 3 cor 15
e 18 4 cor 17
e 18 5 cor 16
e 18 6 cor 18
e 18 7 cor 19
e 18 8 cor 10
e 18 9 cor 11
e 18 10 cor 12
e 18 11 cor 21
e 18 12 cor 20
e 18 13 cor 6
e 18 14 cor 5
e 18 15 cor 3
e 18 16 cor 2
e 18 17 cor 1
e 19 1 cor 14
e 19 2 cor 15
e 19 3 cor 16
e 19 4 cor 18
e 19 5 cor 19
e 19 6 cor 17
e 19 7 cor 20
e 19 8 cor 11
e 19 9 cor 12
e 19 10 cor 13
e 19 11 cor 22
e 19 12 cor 23
e 19 13 cor 24
e 19 14 cor 8
e 19 15 cor 7
e 19 16 cor 9
e 19 17 cor 4
e 19 18 cor 25
e 20 1 cor 15
e 20 2 cor 16
e 20 3 cor 17
e 20 4 cor 19
e 20 5 cor 18
e 20 6 cor 20
e 20 7 cor 14
e 20 8 cor 12
e 20 9 cor 21
e 20 10 cor 11
e 20 11 cor 23
e 20 12 cor 22
e 20 13 cor 25
e 20 14 cor 24
e 20 15 cor 26
e 20 16 cor 7
e 20 17 cor 8
e 20 18 cor 4
e 20 19 cor 1
e 21 1 cor 16
e 21 2 cor 17
e 21 3 cor 18
e 21 4 cor 20
e 21 5 cor 21
e 21 6 cor 19
e 21 7 cor 22
