Arquivo: le450_25c.col
Arestas: 17343
Cores usadas: 179
Tempo de execução: 902 ms

e 1 210 cor 1
e 1 85 cor 2
e 1 410 cor 3
e 1 217 cor 4
e 1 267 cor 5
e 1 149 cor 6
e 1 415 cor 7
e 1 206 cor 8
e 1 342 cor 9
e 1 374 cor 10
e 1 40 cor 11
e 1 331 cor 12
e 1 422 cor 13
e 1 219 cor 14
e 1 292 cor 15
e 1 33 cor 16
e 1 124 cor 17
e 1 65 cor 18
e 1 232 cor 20
e 1 248 cor 19
e 1 164 cor 21
e 1 80 cor 22
e 1 296 cor 23
e 1 312 cor 24
e 1 128 cor 25
e 1 319 cor 26
e 1 435 cor 27
e 1 367 cor 28
e 1 183 cor 29
e 1 399 cor 30
e 1 390 cor 31
e 1 381 cor 32
e 1 272 cor 33
e 1 138 cor 34
e 1 304 cor 35
e 1 420 cor 36
e 1 311 cor 37
e 1 327 cor 38
e 1 168 cor 39
e 1 259 cor 40
e 1 400 cor 41
e 1 266 cor 42
e 1 207 cor 43
e 1 398 cor 44
e 1 64 cor 45
e 1 405 cor 46
e 1 396 cor 47
e 1 387 cor 48
e 1 328 cor 49
e 1 19 cor 50
e 1 310 cor 51
e 1 317 cor 52
e 1 333 cor 53
e 1 224 cor 54
e 1 165 cor 55
e 1 306 cor 56
e 1 172 cor 57
e 2 143 cor 1
e 2 229 cor 2
e 2 295 cor 3
e 2 386 cor 4
e 2 263 cor 5
e 2 254 cor 6
e 2 220 cor 7
e 2 286 cor 8
e 2 109 cor 9
e 2 384 cor 10
e 2 300 cor 11
e 2 191 cor 12
e 2 132 cor 13
e 2 203 cor 14
e 2 94 cor 15
e 2 10 cor 16
e 2 326 cor 17
e 2 342 cor 18
e 2 399 cor 19
e 2 415 cor 20
e 2 231 cor 21
e 2 22 cor 22
e 2 204 cor 23
e 2 395 cor 24
e 2 61 cor 25
e 2 118 cor 26
e 2 188 cor 27
e 2 29 cor 28
e 2 145 cor 29
e 2 334 cor 30
e 2 75 cor 31
e 2 91 cor 32
e 2 432 cor 33
e 2 373 cor 34
e 2 114 cor 35
e 2 255 cor 36
e 2 46 cor 37
e 2 437 cor 38
e 2 103 cor 39
e 2 63 cor 40
e 2 79 cor 41
e 2 45 cor 42
e 2 168 cor 43
e 2 359 cor 44
e 2 425 cor 45
e 2 41 cor 46
e 2 157 cor 47
e 2 98 cor 48
e 2 364 cor 49
e 2 180 cor 50
e 2 421 cor 51
e 2 262 cor 52
e 2 428 cor 53
e 2 169 cor 54
e 2 185 cor 55
e 2 101 cor 56
e 2 392 cor 57
e 2 33 cor 58
e 2 24 cor 59
e 2 90 cor 60
e 2 156 cor 61
e 2 297 cor 62
e 2 388 cor 64
e 2 179 cor 63
e 2 20 cor 65
e 2 161 cor 66
e 2 193 cor 67
e 2 309 cor 68
e 2 175 cor 69
e 2 166 cor 70
e 2 107 cor 71
e 2 273 cor 72
e 2 89 cor 73
e 2 305 cor 74
e 2 321 cor 75
e 2 187 cor 76
e 2 178 cor 77
e 2 144 cor 78
e 2 260 cor 79
e 2 176 cor 80
e 2 17 cor 81
e 2 183 cor 82
e 2 424 cor 83
e 2 215 cor 84
e 2 131 cor 85
e 2 447 cor 86
e 3 12 cor 1
e 3 237 cor 2
e 3 132 cor 3
e 3 39 cor 4
e 3 55 cor 5
e 3 371 cor 6
e 3 429 cor 7
e 3 370 cor 8
e 3 61 cor 9
e 3 427 cor 10
e 3 334 cor 11
e 3 50 cor 12
e 3 241 cor 13
e 3 307 cor 14
e 3 398 cor 15
e 3 439 cor 16
e 3 305 cor 17
e 3 321 cor 18
e 3 137 cor 19
e 3 444 cor 20
e 3 30 cor 21
e 3 71 cor 22
e 3 362 cor 23
e 3 419 cor 24
e 3 10 cor 25
e 3 301 cor 26
e 3 17 cor 27
e 3 133 cor 28
e 3 124 cor 29
e 3 90 cor 30
e 3 131 cor 31
e 3 347 cor 32
e 3 363 cor 33
e 3 279 cor 34
e 3 70 cor 35
e 3 388 cor 36
e 3 104 cor 37
e 3 395 cor 38
e 3 111 cor 39
e 3 202 cor 40
e 3 293 cor 41
e 3 359 cor 42
e 3 425 cor 43
e 3 41 cor 44
e 3 257 cor 45
e 3 273 cor 46
e 3 164 cor 47
e 3 105 cor 48
e 3 221 cor 49
e 3 112 cor 50
e 3 185 cor 51
e 3 126 cor 52
e 3 292 cor 53
e 3 383 cor 54
e 3 24 cor 55
e 3 115 cor 56
e 3 156 cor 57
e 3 297 cor 58
e 3 238 cor 59
e 3 354 cor 60
e 3 220 cor 61
e 3 286 cor 62
e 3 27 cor 63
e 3 93 cor 64
e 3 234 cor 65
e 3 450 cor 66
e 3 441 cor 67
e 3 382 cor 68
e 3 173 cor 69
e 3 89 cor 70
e 3 355 cor 71
e 3 171 cor 72
e 3 337 cor 73
e 3 394 cor 74
e 3 160 cor 75
e 3 176 cor 76
e 3 442 cor 77
e 3 308 cor 78
e 3 349 cor 79
e 3 65 cor 80
e 3 256 cor 81
e 3 372 cor 82
e 4 270 cor 1
e 4 308 cor 2
e 4 140 cor 3
e 4 431 cor 4
e 4 6 cor 5
e 4 27 cor 6
e 4 108 cor 7
e 4 47 cor 8
e 4 172 cor 9
e 4 213 cor 10
e 4 370 cor 11
e 4 186 cor 12
e 4 327 cor 13
e 4 118 cor 14
e 4 84 cor 15
e 4 200 cor 16
e 4 116 cor 17
e 4 432 cor 18
e 4 373 cor 19
e 4 64 cor 20
e 4 405 cor 21
e 4 346 cor 22
e 4 137 cor 23
e 4 162 cor 24
e 4 353 cor 25
e 4 419 cor 26
