Arquivo: r250.5.col
Arestas: 14849
Cores usadas: 193
Tempo de execução: 1192 ms

e 3 1 cor 1
e 3 2 cor 2
e 4 1 cor 2
e 5 1 cor 3
e 5 2 cor 1
e 6 1 cor 4
e 6 2 cor 5
e 6 3 cor 6
e 6 5 cor 7
e 7 2 cor 3
e 7 3 cor 4
e 7 5 cor 2
e 7 6 cor 1
e 8 5 cor 4
e 9 1 cor 5
e 9 4 cor 1
e 9 5 cor 6
e 9 6 cor 10
e 9 8 cor 2
e 10 1 cor 6
e 10 4 cor 3
e 10 6 cor 11
e 10 9 cor 4
e 11 5 cor 5
e 11 8 cor 1
e 12 1 cor 7
e 12 4 cor 4
e 12 5 cor 8
e 12 6 cor 12
e 12 8 cor 3
e 12 9 cor 9
e 12 10 cor 1
e 12 11 cor 2
e 13 1 cor 8
e 13 3 cor 3
e 13 4 cor 5
e 13 5 cor 9
e 13 6 cor 13
e 13 9 cor 7
e 13 10 cor 2
e 13 12 cor 6
e 14 1 cor 9
e 14 2 cor 4
e 14 5 cor 10
e 14 6 cor 16
e 14 7 cor 5
e 14 8 cor 6
e 14 9 cor 3
e 14 11 cor 7
e 14 12 cor 11
e 14 13 cor 1
e 15 1 cor 10
e 15 4 cor 6
e 15 9 cor 8
e 15 10 cor 5
e 15 13 cor 4
e 16 5 cor 11
e 16 6 cor 17
e 16 8 cor 5
e 16 9 cor 12
e 16 10 cor 7
e 16 11 cor 3
e 16 12 cor 10
e 16 14 cor 2
e 17 1 cor 11
e 17 2 cor 6
e 17 3 cor 5
e 17 5 cor 12
e 17 6 cor 18
e 17 7 cor 7
e 17 14 cor 8
e 18 2 cor 7
e 18 5 cor 13
e 18 7 cor 6
e 18 14 cor 12
e 18 17 cor 1
e 19 4 cor 7
e 19 13 cor 10
e 19 15 cor 1
e 20 8 cor 7
e 20 9 cor 11
e 20 10 cor 8
e 20 11 cor 4
e 20 12 cor 5
e 20 13 cor 12
e 20 16 cor 1
e 21 8 cor 8
e 21 9 cor 13
e 21 10 cor 9
e 21 11 cor 6
e 21 12 cor 14
e 21 16 cor 4
e 21 20 cor 2
e 22 1 cor 13
e 22 2 cor 8
e 22 3 cor 7
e 22 5 cor 15
e 22 6 cor 14
e 22 7 cor 9
e 22 8 cor 11
e 22 9 cor 16
e 22 10 cor 17
e 22 11 cor 18
e 22 12 cor 19
e 22 13 cor 22
e 22 14 cor 23
e 22 16 cor 6
e 22 17 cor 2
e 22 18 cor 3
e 23 1 cor 12
e 23 2 cor 9
e 23 3 cor 8
e 23 6 cor 20
e 23 7 cor 10
e 23 13 cor 11
e 23 14 cor 13
e 23 17 cor 3
e 23 22 cor 1
e 24 1 cor 14
e 24 3 cor 9
e 24 4 cor 8
e 24 6 cor 21
e 24 9 cor 15
e 24 10 cor 10
e 24 12 cor 13
e 24 13 cor 16
e 24 14 cor 17
e 24 15 cor 2
e 24 17 cor 4
e 24 19 cor 3
e 24 22 cor 5
e 24 23 cor 6
e 25 1 cor 15
e 25 2 cor 10
e 25 5 cor 14
e 25 6 cor 22
e 25 8 cor 9
e 25 9 cor 17
e 25 10 cor 12
e 25 11 cor 8
e 25 12 cor 16
e 25 13 cor 18
e 25 14 cor 19
e 25 16 cor 13
e 25 20 cor 3
e 25 21 cor 1
e 25 22 cor 4
e 25 24 cor 7
e 26 1 cor 16
e 26 3 cor 10
e 26 4 cor 9
e 26 6 cor 23
e 26 9 cor 14
e 26 10 cor 13
e 26 12 cor 15
e 26 13 cor 17
e 26 14 cor 18
e 26 15 cor 3
e 26 19 cor 2
e 26 22 cor 24
e 26 23 cor 4
e 26 24 cor 1
e 26 25 cor 5
e 27 1 cor 17
e 27 4 cor 10
e 27 6 cor 24
e 27 9 cor 18
e 27 10 cor 14
e 27 12 cor 20
e 27 13 cor 15
e 27 15 cor 7
e 27 19 cor 4
e 27 24 cor 11
e 27 26 cor 6
e 28 1 cor 18
e 28 2 cor 11
e 28 3 cor 12
e 28 4 cor 13
e 28 5 cor 16
e 28 6 cor 25
e 28 9 cor 19
e 28 10 cor 15
e 28 12 cor 17
e 28 13 cor 14
e 28 14 cor 20
e 28 15 cor 9
e 28 17 cor 10
e 28 22 cor 27
e 28 23 cor 2
e 28 24 cor 22
e 28 25 cor 6
e 28 26 cor 7
e 28 27 cor 1
e 29 1 cor 19
e 29 2 cor 12
e 29 5 cor 17
e 29 6 cor 26
e 29 7 cor 8
e 29 9 cor 20
e 29 14 cor 14
e 29 17 cor 9
e 29 18 cor 2
e 29 22 cor 25
e 29 23 cor 5
e 29 25 cor 11
e 29 28 cor 3
e 30 1 cor 20
e 30 2 cor 13
e 30 3 cor 11
e 30 5 cor 18
e 30 6 cor 8
e 30 7 cor 12
e 30 9 cor 23
e 30 10 cor 16
e 30 12 cor 25
e 30 13 cor 19
e 30 14 cor 15
e 30 17 cor 14
e 30 18 cor 5
e 30 22 cor 21
e 30 23 cor 7
e 30 24 cor 26
e 30 25 cor 2
e 30 26 cor 27
e 30 27 cor 3
e 30 28 cor 28
e 30 29 cor 1
e 31 2 cor 14
e 31 3 cor 13
e 31 7 cor 11
e 31 17 cor 15
e 31 23 cor 16
e 31 29 cor 4
e 32 1 cor 21
e 32 2 cor 15
e 32 5 cor 19
e 32 6 cor 27
e 32 7 cor 13
e 32 11 cor 9
e 32 14 cor 22
e 32 17 cor 16
e 32 18 cor 4
e 32 22 cor 29
e 32 25 cor 20
e 32 28 cor 5
e 32 29 cor 6
e 32 30 cor 10
e 33 1 cor 22
e 33 2 cor 16
e 33 3 cor 14
e 33 5 cor 20
e 33 6 cor 28
e 33 7 cor 15
e 33 9 cor 21
e 33 10 cor 18
e 33 12 cor 23
e 33 13 cor 24
e 33 14 cor 25
e 33 15 cor 11
e 33 17 cor 13
e 33 22 cor 30
e 33 23 cor 17
e 33 24 cor 12
e 33 25 cor 26
e 33 26 cor 8
e 33 27 cor 2
e 33 28 cor 4
e 33 29 cor 7
e 33 30 cor 9
e 33 32 cor 1
e 34 5 cor 21
e 34 6 cor 29
e 34 8 cor 10
e 34 9 cor 22
e 34 10 cor 19
e 34 11 cor 11
e 34 12 cor 18
e 34 14 cor 24
e 34 16 cor 8
e 34 20 cor 6
e 34 21 cor 3
e 34 22 cor 31
e 34 25 cor 23
e 34 30 cor 30
e 34 33 cor 5
e 35 1 cor 23
e 35 5 cor 22
e 35 6 cor 30
e 35 8 cor 12
e 35 9 cor 24
e 35 10 cor 20
e 35 11 cor 10
e 35 12 cor 21
e 35 13 cor 25
e 35 14 cor 26
